# x y z u v w
0.299199 5.68479 5.08639 0 0 0
0.299199 5.68479 5.68479 0 0 0
0.299199 5.68479 6.28319 0 0 0
0.299199 6.28319 0.299199 0 0 0
0.299199 6.28319 0.897598 0 0 0
0.299199 6.28319 1.496 0 0 0
0.299199 6.28319 2.0944 0 0 0
0.299199 6.28319 2.69279 0 0 0
0.299199 6.28319 3.29119 0 0 0
0.299199 6.28319 3.88959 0 0 0
0.299199 6.28319 4.48799 0 0 0
0.299199 6.28319 5.08639 0 0 0
0.299199 6.28319 5.68479 0 0 0
0.299199 6.28319 6.28319 0 0 0
0.897598 0.299199 0.299199 0 0 0
0.897598 0.299199 0.897598 0 0 0
0.897598 0.299199 1.496 0 0 0
0.897598 0.299199 2.0944 0 0 0
0.897598 0.299199 2.69279 0 0 0
0.897598 0.299199 3.29119 0 0 0
0.897598 0.299199 3.88959 0 0 0
0.897598 0.299199 4.48799 0 0 0
0.897598 0.299199 5.08639 0 0 0
0.897598 0.299199 5.68479 0 0 0
0.897598 0.299199 6.28319 0 0 0
0.897598 0.897598 0.299199 0 0 0
0.897598 0.897598 0.897598 0 0.00238893 0
0.897598 0.897598 1.496 0 0.00197383 0
0.897598 0.897598 2.0944 0 0.000872774 0
0.897598 0.897598 2.69279 0 -0.000531587 0
0.897598 0.897598 3.29119 0 0 0
0.897598 0.897598 3.88959 0 0 0
0.897598 0.897598 4.48799 0 0 0
0.897598 0.897598 5.08639 0 0 0
0.897598 0.897598 5.68479 0 0 0
0.897598 0.897598 6.28319 0 0 0
0.897598 1.496 0.299199 0 0 0
0.897598 1.496 0.897598 0 0.00155872 0.00176084
0.897598 1.496 1.496 0.000233836 0.00128788 0.00197911
0.897598 1.496 2.0944 0.000386409 0.000569465 0.0015096
0.897598 1.496 2.69279 0.000404696 -0.000346848 0.000515473
0.897598 1.496 3.29119 0 0 0
0.897598 1.496 3.88959 0 0 0
0.897598 1.496 4.48799 0 0 0
0.897598 1.496 5.08639 0 0 0
0.897598 1.496 5.68479 0 0 0
0.897598 1.496 6.28319 0 0 0
0.897598 2.0944 0.299199 0 0 0
0.897598 2.0944 0.897598 0 0.000186825 0.00290974
0.897598 2.0944 1.496 0.000386409 0.000154362 0.00327044
0.897598 2.0944 2.0944 0.000638532 6.82548e-05 0.00249459
0.897598 2.0944 2.69279 0.000668751 -4.15724e-05 0.000851808
0.897598 2.0944 3.29119 0 0 0
0.897598 2.0944 3.88959 0 0 0
0.897598 2.0944 4.48799 0 0 0
0.897598 2.0944 5.08639 0 0 0
0.897598 2.0944 5.68479 0 0 0
0.897598 2.0944 6.28319 0 0 0
0.897598 2.69279 0.299199 0 0 0
0.897598 2.69279 0.897598 0 -0.00125 0.00304745
0.897598 2.69279 1.496 0.000404696 -0.0010328 0.00342521
0.897598 2.69279 2.0944 0.000668751 -0.000456676 0.00261264
0.897598 2.69279 2.69279 0.0007004 0.000278151 0.00089212
0.897598 2.69279 3.29119 0 0 0
0.897598 2.69279 3.88959 0 0 0
0.897598 2.69279 4.48799 0 0 0
0.897598 2.69279 5.08639 0 0 0
0.897598 2.69279 5.68479 0 0 0
0.897598 2.69279 6.28319 0 0 0
